"Source:","D:\Projekty\FAMO\some_wave_v2\some_wave_v2.sch"
"Date:","19.09.2022 13:37:35"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","143"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comm"
"","","C1","10u 25V X5R","Device:C","Capacitors_SMD:C_0805","~","TDK C2012X5R1E106K125AB"
"","","C2","10u 25V X5R","Device:C","Capacitors_SMD:C_0805","~","TDK C2012X5R1E106K125AB"
"","","C3","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~",""
"","","C4","100p 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"","","C5","100p 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"","","C6","10n 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"","","C7","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~",""
"","","C8","100p 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"","","C9","100p 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"","","C10","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~",""
"","","C11","100p 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"","","C12","100p 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"","","C13","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~",""
"","","C14","22u 10V X5R","Device:C","Capacitors_SMD:C_0805","~","TDK C2012X5R1A226K125AB"
"","","C15","1u X7R 10V","Device:C","Capacitors_SMD:C_0603","~",""
"","","C16","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~",""
"","","C17","10n 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"","","C18","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~",""
"","","C19","100p 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"","","C20","100p 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"","","C21","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~",""
"","","C22","22u 10V X5R","Device:C","Capacitors_SMD:C_0805","~","TDK C2012X5R1A226K125AB"
"","","C23","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~",""
"","","C24","10n 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"","","C25","10n 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"","","C26","10n 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
